Name,Department
"Hicken, Jason","Mechanical, Aerospace and Nuclear Engineering"
"High, Kathy",Arts
"Hiland, Alexander",Communication and Media
"Hirsa, Azita",Industrial and Systems Engineering
"Hirsa, Amir","Mechanical, Aerospace and Nuclear Engineering"
"Hoffman, Casey","Mechanical, Aerospace and Nuclear Engineering"
"Hoffman, Allison","Mechanical, Aerospace and Nuclear Engineering"
"Holguin-Veras, Jose",unknown
"Holmes, Mark",Mathematics
"Horning, Andrew",Mathematical Sciences
"Housley, Kevin","Mechanical, Aerospace and Nuclear Engineering"
"Hower, James Fleet",Architecture
"Huang, Liping",Materials Science and Engineering
"Huang, Zhaoran (Rena)","Electrical, Computer, and Systems Engineering"
"Huh, Jason",Economics
"Hull, Robert",unknown
"Hurley, Jennifer",Biological Sciences
"Hurst, Joshua","Mechanical, Aerospace and Nuclear Engineering"
"Imaeda, Ryosuke",Architecture
"Intes, Xavier",Biomedical Engineering
"Ivanov, Radoslav",Computer Science
"Jain, Gaurav",Management
"Jain, Ish","Electrical, Computer, and Systems Engineering"
"Jeansonne, Christopher",Communication and Media
"Jensen, Brian",Biological Sciences
"Ji, Qiang","Electrical, Computer, and Systems Engineering"
"Ji, Wei","Mechanical, Aerospace and Nuclear Engineering"
"Johnson-Finn, Kristin",Chemistry and Chemical Biology
"Jones, Corinne (Leah)",Communication and Media
"Jones, Robert",Economics
"Josyula, Kartik","Mechanical, Aerospace and Nuclear Engineering"
"Julius, Anak Agung","Electrical, Computer, and Systems Engineering"
"Kam, Wing Sze Elizabeth",Mathematics
"Kanai, Junichi","Electrical, Computer, and Systems Engineering"
"Kang, Hyun Gook","Mechanical, Aerospace and Nuclear Engineering"
"Kar, Koushik","Electrical, Computer, and Systems Engineering"
"Karande, Pankaj",Chemical and Biological Engineering
"Karlicek, Robert","Electrical, Computer, and Systems Engineering"
"Ke, Ruimin",Civil and Environmental Engineering
"Keblinski, Paul",Materials Science and Engineering
"Kemp, Jenny",Arts
"Keshan, Neha",Computer Science
"Kiehl, Maya",Mathematics
"Kilduff, James",Civil and Environmental Engineering
"Kim, Ji-Young",Chemical and Biological Engineering
"Kim, Yong Sung","Physics, Applied Physics, and Astronomy"
"Kinchy, Abby",Science and Technology Studies
"Kirova-Snover, Margarita",Chemistry and Chemical Biology
"Klein, Michael",Biological Sciences
"Klein, Michael",Economics
"Klyachko, Kseniya",Mathematics
"Koffas, Mattheos",unknown
"Kopsaftopoulos, Fotis","Mechanical, Aerospace and Nuclear Engineering"
"Koratkar, Nikhil","Mechanical, Aerospace and Nuclear Engineering"
"Korenowski, Gerald",Chemistry and Chemical Biology
"Korniss, Gyorgy","Physics, Applied Physics, and Astronomy"
"Korolov, Rostyslov",Industrial and Systems Engineering
"Kovacic, Gregor",Mathematics
"Kraft, Russell","Electrical, Computer, and Systems Engineering"
"Kramer, Peter",Mathematical Sciences
"Kruger, Uwe",Biomedical Engineering
"Kucinski, Gina",Mathematics
"Kumar, Shyam",Management
"Kuruzovich, Jason",Management
"Kuzmin, Konstantin",Computer Science
"LaGraff, John",Materials Science and Engineering
"Lakshmi, K.V.",Chemistry and Chemical Biology
"Lander, Daniel",Civil and Environmental Engineering
"Langer, Nishtha",Management
"Larson, Benjamin",Biological Sciences
"Ledet, Eric",Management
"Lee, George",Biomedical Engineering
"Lee, Sangwoo",Chemical and Biological Engineering
"Leitao, Carla",Architecture
"Lennon, Conor",Economics
"Letchford, Chris",Civil and Environmental Engineering
"Lewis, Daniel",Materials Science and Engineering
"Li, Min",Civil and Environmental Engineering
"Li, Fengyan",Mathematics
"Li, Fengqi",Architecture
"Lian, Jie","Mechanical, Aerospace and Nuclear Engineering"
"Liang, Zhiding",Computer Science
"Ligon, Lee",Biological Sciences
"Lim, Chjan",Mathematics
"Lin, Shawn-Yu","Physics, Applied Physics, and Astronomy"
"Liu, Heng",Economics
"Liu, Liu","Electrical, Computer, and Systems Engineering"
"Liu, Edwin",Architecture
"Liu, Li (Emily)",Industrial and Systems Engineering
"Loercher, John",Architecture
"Lopez, Matthew",Architecture
"Loveless, Stephanie",Arts
"Lu, James","Electrical, Computer, and Systems Engineering"
"Lvov, Yuri",Mathematics
"Lyles, Daniel","Mechanical, Aerospace and Nuclear Engineering"
"Ma, Yao",Computer Science
"Ma, Alexander",Chemistry and Chemical Biology
"Magdon-Ismail, Malik",Computer Science
"Maharjan, Johan",Management
"Mahmoudi, Mina",Economics
"Makhatadze, George",Biological Sciences
"Malazita, James",Science and Technology Studies
"Maniatty, Antoinette","Mechanical, Aerospace and Nuclear Engineering"
"Manikonda, Lydia",Management
"Martin, Charles","Physics, Applied Physics, and Astronomy"
"Matos, Miguel",Architecture
"McDermott, Margaret",Management
"McDermott, Christopher",Management
"McGuiness, Deborah",Computer Science
"McKinney, Jonathan",Management
"McShane, Marjorie",Cognitive Science
"Meltz, Nathan",Arts
"Meng, Xiangyi","Physics, Applied Physics, and Astronomy"
"Merson, Jacob","Mechanical, Aerospace and Nuclear Engineering"
"Michael, J. Darryl","Physics, Applied Physics, and Astronomy"
"Milanese, John",Cognitive Science
"Milanova, Ana",Computer Science
"Miller, Branda",Arts
"Mills, Kristen","Mechanical, Aerospace and Nuclear Engineering"
"Mishra, Sandipan","Mechanical, Aerospace and Nuclear Engineering"
"Mitchell, John",Mathematics
"Mizer, Nicholas",Communication and Media
"Moesch, Jarah",Science and Technology Studies
"Mohamed, Hisham",Biomedical Engineering
Mohammad Mohammadi Amiri,Computer Science
"Montelione, Gaetano",Chemistry and Chemical Biology
"Moran Ramirez, Diego Alejandro",Industrial and Systems Engineering
"Moriarty, Claire",Architecture
"Morris, Jeffrey","Mechanical, Aerospace and Nuclear Engineering"
"Monuz-Rojas, Andres",Biomedical Engineering
"Murray, Mitchell",Communication and Media
"Mushtaque, Uzma",Computer Science
"N'Gom, Moussa","Physics, Applied Physics, and Astronomy"
"Nabeel Amjad, Syed","Mechanical, Aerospace and Nuclear Engineering"
"Najle, Ciro",Architecture
"Nanou, Chrysi",Arts
"Narayan, Shankar","Mechanical, Aerospace and Nuclear Engineering"
"Narendran, Nadarajah",Architecture
"Neti, Prabhakar","Electrical, Computer, and Systems Engineering"
"Nevo, Dorit",Management
"Nevo, Saggi",Management
"Newberg, Heidi Jo","Physics, Applied Physics, and Astronomy"
"Nideffer, Robert",Arts
"Niemiec, Robert","Mechanical, Aerospace and Nuclear Engineering"
"Nierzwicki-Bauer, Sandra",Biological Sciences
"Nirenburg, Sergei",Cognitive Science
"Nkuiya, Bruno",Economics
"Nyman, Marianne",Civil and Environmental Engineering
"Oakes, Kimberly","Electrical, Computer, and Systems Engineering"
"Oatman, Michael",Architecture
"Oehlschlaeger, Matthew","Mechanical, Aerospace and Nuclear Engineering"
"Ooi, Boon","Electrical, Computer, and Systems Engineering"
"Oropello, Adrianna",Games and Simulation Arts and Sciences
"Ozisik, Rahmi",Materials Science and Engineering
"Palermo, Edmund",Materials Science and Engineering
"Pan, Shaowu",unknown
"Panneerselvam, Karthikeyan","Mechanical, Aerospace and Nuclear Engineering"
"Parker Ward, Sarah",Management
"Pasek, Matthew",Earth and Environmental Sciences
"Paternain, Santiago","Electrical, Computer, and Systems Engineering"
"Patterson, Alex","Electrical, Computer, and Systems Engineering"
"Patterson, Stacy",Computer Science
"Pazour, Jennifer",unknown
"Pekdemir, Emir",Architecture
"Peng, Huaming",Economics
"Perera, Ukwatte Lokuliyanage Indika","Mechanical, Aerospace and Nuclear Engineering"
"Perry, Christopher",Architecture
"Persans, Peter","Physics, Applied Physics, and Astronomy"
"Petela, Adam",Architecture
"Peterson-McCann, Audrey",Communication and Media
"Picu, Catalin","Mechanical, Aerospace and Nuclear Engineering"
"Piper, Bruce",Mathematics
"Platts, Nick",Chemistry and Chemical Biology
"Plawsky, Joel",Chemical and Biological Engineering
"Plotka, Richard",Computer Science
"Pogorelyuk, Leonid","Mechanical, Aerospace and Nuclear Engineering"
"Press, Elizabeth",Arts
"Przybycien, Todd",Chemical and Biological Engineering
"Puleo, Christopher",Biomedical Engineering
"Radev, Stefan",Cognitive Science
"Radke, Richard","Electrical, Computer, and Systems Engineering"
"Ragsdale, Kenneth",Arts
Rahul,Biomedical Engineering
"Ramanath, Ganpati",Materials Science and Engineering
"Ramanath, Seemanti",Biological Sciences
"Ran, Weina",Communication and Media
"Ravichandran, Thiagarajan",unknown
"Rees, James Dylan","Electrical, Computer, and Systems Engineering"
"Reilly, John M",Civil and Environmental Engineering
"Repolho Cagliari, Luiz Victor","Mechanical, Aerospace and Nuclear Engineering"
"Rhone, Trevor","Physics, Applied Physics, and Astronomy"
"Rice, Ross",Arts
"Rivero, Jorge",Economics
"Robles Sanchez, Victor","Physics, Applied Physics, and Astronomy"
"Rogers, Karyn",Earth and Environmental Sciences
"Rose, Kevin",Biological Sciences
"Royer, Catherine",Biological Sciences
"Ruan, Yujie",Management
"Ruiz, Kathleen",Arts
"Russo, John Rhett",Architecture
"Rutledge, Eric",Biological Sciences
"Ruzanka, Silvia",Arts
"Sahni, Onkar","Mechanical, Aerospace and Nuclear Engineering"
"Salamah, Samir","Mechanical, Aerospace and Nuclear Engineering"
"Samuel, Johnson","Mechanical, Aerospace and Nuclear Engineering"
"Sawyer, Shayla","Electrical, Computer, and Systems Engineering"
"Schaller, Morgan",Earth and Environmental Sciences
"Schmidt, Martin","Electrical, Computer, and Systems Engineering"
"Schroeder, John","Physics, Applied Physics, and Astronomy"
"Schubert, Fred","Electrical, Computer, and Systems Engineering"
"Schwendeman, Donald",Mathematics
"Search, Patricia",Communication and Media
"Sehwail, Walaid",Architecture
"Seneviratne, Oshani",Computer Science
"Shahsavari, Ali","Mechanical, Aerospace and Nuclear Engineering"
"Sharma, Geetu",Chemistry and Chemical Biology
"Shelden, Dennis",Architecture
"Shelley, Jacob",Chemistry and Chemical Biology
"Shenogin, Sergei",Materials Science and Engineering
"Shephard, Mark","Mechanical, Aerospace and Nuclear Engineering"
"Shi, Jian",Materials Science and Engineering
"Shi, Shanbin","Mechanical, Aerospace and Nuclear Engineering"
"Shi, Yunfeng",Materials Science and Engineering
"Si, Mei",Cognitive Science
"Simons, Kenneth",Economics
"Sims, Chris",Cognitive Science
"Singh, Sandeep","Mechanical, Aerospace and Nuclear Engineering"
"Singh, Tanya",Management
"Slota, George",Computer Science
"Souyris, Sebastian",Management
"Spear, Frank",Earth and Environmental Sciences
"Sprague, Elizabeth",Chemistry and Chemical Biology
"Staniszewski, Mary Ann",Arts
"Stetler, Jonathan",Biological Sciences
"Stevenson, Daniel",Mathematics
"Stewart, Charles",Computer Science
"Strizver, Sam",Management
"Strzalkoswki, Tomasz",Cognitive Science
"Studebaker, Riley",Architecture
"Sturman, John",Computer Science
"Suckling, Maurice",Communication and Media
"Sumadi, Meimuheh",Management
"Sun, Jian","Electrical, Computer, and Systems Engineering"
"Sun, Ron",Cognitive Science
"Sundararaman, Ravishankar",Materials Science and Engineering
"Swank, Douglis",Biological Sciences
"Swope, Rush",unknown
"Symans, Michael",Civil and Environmental Engineering
"Szymanski, Boleslaw",Computer Science
"Tack, Sara",Communication and Media
"Tajer, Ali",unknown
"Tatarsky, Marc",Architecture
"Taylor, Keith","Mechanical, Aerospace and Nuclear Engineering"
"Terrones, Humberto","Physics, Applied Physics, and Astronomy"
"Tessari, Anthony",Civil and Environmental Engineering
"Thakur, Prakrati",Economics
"Thero, Daniel",Cognitive Science
"Thomas, Clayton",Computer Science
"Thompson, Deanna",Biomedical Engineering
"Thu, Wint",Economics
"Tichy, John","Mechanical, Aerospace and Nuclear Engineering"
"Titus, Anthony",Architecture
"Totsingan, Filbert",Chemistry and Chemical Biology
"Tozzi, Christopher",Science and Technology Studies
"Tran, Mi",Management
"Traver, Holly",Cognitive Science
"Troyer, Kyle",Architecture
"Tsamis, Alexandros",Architecture
"Tumuklu, Ozgur","Mechanical, Aerospace and Nuclear Engineering"
"Turner, Wesley",Computer Science
"Tyrol, Katherine",Science and Technology Studies
"Uchida, Shun",Civil and Environmental Engineering
"Ullal, Chaitanya",Materials Science and Engineering
"Underhill, Patrick",Chemical and Biological Engineering
"Uribe del Águila, Verónica",Science and Technology Studies
"Vamos, Igor",Arts
"Van Heuveln, Bram",Cognitive Science
"Van Valkenburg, Michael",Chemistry and Chemical Biology
"Vanderhyden, Philip",Arts
"Vanfretti, Luigi","Electrical, Computer, and Systems Engineering"
"Vanmuysen, Benjamin",Architecture
"Varela, Carlos",Computer Science
"Varsamis, Christos",Civil and Environmental Engineering
